time,LSB
0.000000,1750.500000
0.006667,16380.500000
0.013333,31.500000
0.020000,3324.500000
0.026667,9.500000
0.033333,-3.500000
0.040000,-3.500000
0.046667,9724.500000
0.053333,2559.500000
0.060000,22.500000
0.066667,10236.500000
0.073333,-4320.500000
0.080000,-13308.500000
0.086667,-13308.500000
0.093333,-6396.500000
0.100000,7939.500000
0.106667,15364.500000
0.113333,15364.500000
0.120000,12036.500000
0.126667,4100.500000
0.133333,-3835.500000
0.140000,-7164.500000
0.146667,-7676.500000
0.153333,-7676.500000
0.160000,-5884.500000
0.166667,-3580.500000
0.173333,-2812.500000
0.180000,-2812.500000
0.186667,-2812.500000
0.193333,-2556.500000
0.200000,-2044.500000
0.206667,-1532.500000
0.213333,-764.500000
0.220000,3.500000
0.226667,1028.500000
0.233333,2052.500000
0.240000,3076.500000
0.246667,3844.500000
0.253333,4356.500000
0.260000,4868.500000
0.266667,6148.500000
0.273333,7428.500000
0.280000,8964.500000
0.286667,10500.500000
0.293333,11780.500000
0.300000,13316.500000
0.306667,14340.500000
0.313333,14596.500000
0.320000,14596.500000
0.326667,14084.500000
0.333333,12804.500000
0.340000,11012.500000
0.346667,8708.500000
0.353333,6404.500000
0.360000,4100.500000
0.366667,2820.500000
0.373333,1796.500000
0.380000,1028.500000
0.386667,516.500000
0.393333,260.500000
0.400000,-251.500000
0.406667,-508.500000
0.413333,-508.500000
0.420000,-1020.500000
0.426667,-1276.500000
0.433333,-1276.500000
0.440000,-1020.500000
0.446667,-508.500000
0.453333,259.500000
0.460000,1284.500000
0.466667,2052.500000
0.473333,2820.500000
0.480000,2820.500000
0.486667,2308.500000
0.493333,1284.500000
0.500000,4.500000
0.506667,-1019.500000
0.513333,-1788.500000
0.520000,-2300.500000
0.526667,-2812.500000
0.533333,-3324.500000
0.540000,-3580.500000
0.546667,-3836.500000
0.553333,-3836.500000
0.560000,5635.500000
0.566667,14084.500000
0.573333,15108.500000
0.580000,15108.500000
0.586667,9220.500000
0.593333,-251.500000
0.600000,-4092.500000
0.606667,-4092.500000
0.613333,-3836.500000
0.620000,-3836.500000
0.626667,-4092.500000
0.633333,-4604.500000
0.640000,-4604.500000
0.646667,-3580.500000
0.653333,-2300.500000
0.660000,-2044.500000
0.666667,-2044.500000
0.673333,-2044.500000
0.680000,-1788.500000
0.686667,-252.500000
0.693333,1539.500000
0.700000,2052.500000
0.706667,2052.500000
0.713333,2308.500000
0.720000,2564.500000
0.726667,3332.500000
0.733333,4356.500000
0.740000,5380.500000
0.746667,6660.500000
0.753333,7940.500000
0.760000,8964.500000
0.766667,9988.500000
0.773333,10500.500000
0.780000,10756.500000
0.786667,10244.500000
0.793333,8964.500000
0.800000,7428.500000
0.806667,5892.500000
0.813333,4612.500000
0.820000,3332.500000
0.826667,2308.500000
0.833333,1028.500000
0.840000,-251.500000
0.846667,-764.500000
0.853333,-1020.500000
0.860000,-1276.500000
0.866667,-1532.500000
0.873333,-1532.500000
0.880000,-1532.500000
0.886667,-1276.500000
0.893333,-1020.500000
0.900000,-508.500000
0.906667,-252.500000
0.913333,3.500000
0.920000,260.500000
0.926667,772.500000
0.933333,1284.500000
0.940000,1540.500000
0.946667,1796.500000
0.953333,1796.500000
0.960000,1540.500000
0.966667,516.500000
0.973333,-763.500000
0.980000,-2300.500000
0.986667,-3580.500000
0.993333,-5116.500000
1.000000,-6652.500000
1.006667,-8444.500000
1.013333,-12540.500000
1.020000,-11004.500000
1.026667,-1532.500000
1.033333,9731.500000
1.040000,13060.500000
1.046667,13060.500000
1.053333,7172.500000
1.060000,-3323.500000
1.066667,-8188.500000
1.073333,-8188.500000
1.080000,-6908.500000
1.086667,-5628.500000
1.093333,-5628.500000
1.100000,-5884.500000
1.106667,-5884.500000
1.113333,-5116.500000
1.120000,-3324.500000
1.126667,-1276.500000
1.133333,-508.500000
1.140000,3.500000
1.146667,516.500000
1.153333,1028.500000
1.160000,1796.500000
1.166667,2820.500000
1.173333,3844.500000
1.180000,4868.500000
1.186667,5636.500000
1.193333,6148.500000
1.200000,7684.500000
1.206667,9476.500000
1.213333,11268.500000
1.220000,12548.500000
1.226667,13828.500000
1.233333,14340.500000
1.240000,14596.500000
1.246667,14340.500000
1.253333,14084.500000
1.260000,13060.500000
1.266667,11524.500000
1.273333,9476.500000
1.280000,7428.500000
1.286667,5636.500000
1.293333,4100.500000
1.300000,2820.500000
1.306667,1540.500000
1.313333,260.500000
1.320000,-507.500000
1.326667,-1276.500000
1.333333,-1788.500000
1.340000,-2044.500000
1.346667,-2556.500000
1.353333,-2556.500000
1.360000,-2556.500000
1.366667,-2556.500000
1.373333,-2556.500000
1.380000,-2300.500000
1.386667,-1788.500000
1.393333,-1276.500000
1.400000,-1020.500000
1.406667,-1020.500000
1.413333,-1020.500000
1.420000,-1020.500000
1.426667,-1020.500000
1.433333,-1276.500000
1.440000,-1788.500000
1.446667,-2812.500000
1.453333,-3580.500000
1.460000,-4348.500000
1.466667,-5116.500000
1.473333,-6396.500000
1.480000,-14588.500000
1.486667,-14588.500000
1.493333,-8956.500000
1.500000,5123.500000
1.506667,14084.500000
1.513333,14340.500000
1.520000,14340.500000
1.526667,7428.500000
1.533333,-2811.500000
1.540000,-6140.500000
1.546667,-6140.500000
1.553333,-5884.500000
1.560000,-5884.500000
1.566667,-5628.500000
1.573333,-5628.500000
1.580000,-3580.500000
1.586667,-1788.500000
1.593333,-1276.500000
1.600000,-1276.500000
1.606667,-1276.500000
1.613333,-1276.500000
1.620000,-1276.500000
1.626667,-1020.500000
1.633333,-764.500000
1.640000,-252.500000
1.646667,771.500000
1.653333,1540.500000
1.660000,2564.500000
1.666667,4100.500000
1.673333,5892.500000
1.680000,7428.500000
1.686667,8964.500000
1.693333,10244.500000
1.700000,11268.500000
1.706667,11780.500000
1.713333,12292.500000
1.720000,11780.500000
1.726667,11012.500000
1.733333,9732.500000
1.740000,8708.500000
1.746667,7172.500000
1.753333,5380.500000
1.760000,3332.500000
1.766667,1284.500000
1.773333,4.500000
1.780000,-763.500000
1.786667,-1020.500000
1.793333,-1276.500000
1.800000,-1788.500000
1.806667,-2044.500000
1.813333,-2044.500000
1.820000,-2300.500000
1.826667,-2556.500000
1.833333,-3068.500000
1.840000,-3580.500000
1.846667,-3580.500000
1.853333,-3324.500000
1.860000,-3068.500000
1.866667,-2300.500000
1.873333,-1788.500000
1.880000,-1020.500000
1.886667,-764.500000
1.893333,-764.500000
1.900000,-1020.500000
1.906667,-1788.500000
1.913333,-2556.500000
1.920000,-3324.500000
1.926667,-4092.500000
1.933333,-4860.500000
1.940000,-5372.500000
1.946667,-5884.500000
1.953333,-6908.500000
1.960000,-7932.500000
1.966667,-14332.500000
1.973333,-10236.500000
1.980000,1283.500000
1.986667,10756.500000
1.993333,12804.500000
2.000000,12804.500000
2.006667,5892.500000
2.013333,-3067.500000
2.020000,-5372.500000
2.026667,-5372.500000
2.033333,-3324.500000
2.040000,-1532.500000
2.046667,-1532.500000
2.053333,-3068.500000
2.060000,-5372.500000
2.066667,-6396.500000
2.073333,-6396.500000
2.080000,-5372.500000
2.086667,-3324.500000
2.093333,-1276.500000
2.100000,-252.500000
2.106667,-252.500000
2.113333,-508.500000
2.120000,-508.500000
2.126667,-252.500000
2.133333,515.500000
2.140000,1796.500000
2.146667,2820.500000
2.153333,4356.500000
2.160000,5636.500000
2.166667,7172.500000
2.173333,8708.500000
2.180000,9988.500000
2.186667,11012.500000
2.193333,11012.500000
2.200000,10756.500000
2.206667,9732.500000
2.213333,8708.500000
2.220000,7428.500000
2.226667,5892.500000
2.233333,4100.500000
2.240000,2052.500000
2.246667,516.500000
2.253333,-1019.500000
2.260000,-2044.500000
2.266667,-3068.500000
2.273333,-3580.500000
2.280000,-3836.500000
2.286667,-3836.500000
2.293333,-3580.500000
2.300000,-3324.500000
2.306667,-2812.500000
2.313333,-2300.500000
2.320000,-1788.500000
2.326667,-1020.500000
2.333333,-508.500000
2.340000,3.500000
2.346667,260.500000
2.353333,516.500000
2.360000,516.500000
2.366667,772.500000
2.373333,1028.500000
2.380000,1028.500000
2.386667,1028.500000
2.393333,1028.500000
2.400000,772.500000
2.406667,260.500000
2.413333,-251.500000
2.420000,-1020.500000
2.426667,-1788.500000
2.433333,-2556.500000
2.440000,-3324.500000
2.446667,-4348.500000
2.453333,-5116.500000
2.460000,-1020.500000
2.466667,9987.500000
2.473333,15620.500000
2.480000,15620.500000
2.486667,10756.500000
2.493333,772.500000
2.500000,-6651.500000
2.506667,-9212.500000
2.513333,-9212.500000
2.520000,-8444.500000
2.526667,-7420.500000
2.533333,-5884.500000
2.540000,-3836.500000
2.546667,-2812.500000
2.553333,-2812.500000
2.560000,-3068.500000
2.566667,-3324.500000
2.573333,-3324.500000
2.580000,-1788.500000
2.586667,-508.500000
2.593333,-508.500000
2.600000,-508.500000
2.606667,-508.500000
2.613333,3.500000
2.620000,1028.500000
2.626667,2564.500000
2.633333,4100.500000
2.640000,5380.500000
2.646667,7172.500000
2.653333,8964.500000
2.660000,10756.500000
2.666667,12036.500000
2.673333,12804.500000
2.680000,12804.500000
2.686667,12036.500000
2.693333,10756.500000
2.700000,9220.500000
2.706667,7940.500000
2.713333,6404.500000
2.720000,4612.500000
2.726667,3076.500000
2.733333,1540.500000
2.740000,516.500000
2.746667,4.500000
2.753333,-507.500000
2.760000,-1020.500000
2.766667,-1788.500000
2.773333,-2044.500000
2.780000,-2300.500000
2.786667,-2044.500000
2.793333,-1788.500000
2.800000,-1532.500000
2.806667,-1276.500000
2.813333,-764.500000
2.820000,-252.500000
2.826667,515.500000
2.833333,1028.500000
2.840000,1028.500000
2.846667,1284.500000
2.853333,1284.500000
2.860000,1284.500000
2.866667,1028.500000
2.873333,772.500000
2.880000,516.500000
2.886667,-251.500000
2.893333,-1020.500000
2.900000,-1532.500000
2.906667,-2556.500000
2.913333,-3580.500000
2.920000,-5116.500000
2.926667,-6652.500000
2.933333,-7932.500000
2.940000,-8700.500000
2.946667,-8188.500000
2.953333,6403.500000
2.960000,6916.500000
2.966667,6916.500000
2.973333,516.500000
2.980000,-7675.500000
2.986667,-9980.500000
2.993333,-9980.500000
3.000000,-7164.500000
3.006667,-3068.500000
3.013333,-1276.500000
3.020000,-1020.500000
3.026667,-764.500000
3.033333,-508.500000
3.040000,-508.500000
3.046667,-764.500000
3.053333,-2044.500000
3.060000,-3068.500000
3.066667,-3068.500000
3.073333,-2044.500000
3.080000,3.500000
3.086667,1796.500000
3.093333,2308.500000
3.100000,2564.500000
3.106667,3332.500000
3.113333,4356.500000
3.120000,5380.500000
3.126667,6404.500000
3.133333,7172.500000
3.140000,8452.500000
3.146667,9732.500000
3.153333,11012.500000
3.160000,11780.500000
3.166667,11780.500000
3.173333,11268.500000
3.180000,10500.500000
3.186667,9732.500000
3.193333,8452.500000
3.200000,6660.500000
3.206667,4612.500000
3.213333,2564.500000
3.220000,1028.500000
3.226667,4.500000
3.233333,-763.500000
3.240000,-1532.500000
3.246667,-2044.500000
3.253333,-2044.500000
3.260000,-1788.500000
3.266667,-1788.500000
3.273333,-1788.500000
3.280000,-2044.500000
3.286667,-2044.500000
3.293333,-2044.500000
3.300000,-2044.500000
3.306667,-2044.500000
3.313333,-2300.500000
3.320000,-2300.500000
3.326667,-2300.500000
3.333333,-2044.500000
3.340000,-1788.500000
3.346667,-1276.500000
3.353333,-1020.500000
3.360000,-508.500000
3.366667,-252.500000
3.373333,3.500000
3.380000,260.500000
3.386667,260.500000
3.393333,4.500000
3.400000,-507.500000
3.406667,-1532.500000
3.413333,-12028.500000
3.420000,-14588.500000
3.426667,-14588.500000
3.433333,-9468.500000
3.440000,1795.500000
3.446667,12292.500000
3.453333,16644.500000
3.460000,16644.500000
3.466667,9732.500000
3.473333,-2555.500000
3.480000,-8444.500000
3.486667,-8444.500000
3.493333,-6396.500000
3.500000,-4604.500000
3.506667,-4604.500000
3.513333,-4348.500000
3.520000,-4348.500000
3.526667,-4348.500000
3.533333,-3580.500000
3.540000,-2300.500000
3.546667,-1020.500000
3.553333,-1020.500000
3.560000,-1020.500000
3.566667,-1020.500000
3.573333,-508.500000
3.580000,3.500000
3.586667,772.500000
3.593333,1284.500000
3.600000,2052.500000
3.606667,2820.500000
3.613333,3844.500000
3.620000,5124.500000
3.626667,6404.500000
3.633333,7172.500000
3.640000,7684.500000
3.646667,8196.500000
3.653333,8452.500000
3.660000,8708.500000
3.666667,8196.500000
3.673333,7172.500000
3.680000,5892.500000
3.686667,4356.500000
3.693333,2820.500000
3.700000,1540.500000
3.706667,4.500000
3.713333,-1531.500000
3.720000,-2812.500000
3.726667,-3580.500000
3.733333,-3324.500000
3.740000,-3068.500000
3.746667,-2812.500000
3.753333,-2812.500000
3.760000,-2812.500000
3.766667,-2812.500000
3.773333,-2300.500000
3.780000,-1788.500000
3.786667,-1532.500000
3.793333,-1532.500000
3.800000,-1276.500000
3.806667,-764.500000
3.813333,3.500000
3.820000,772.500000
3.826667,1028.500000
3.833333,772.500000
3.840000,772.500000
3.846667,1028.500000
3.853333,1284.500000
3.860000,1028.500000
3.866667,516.500000
3.873333,-251.500000
3.880000,-764.500000
3.886667,-1276.500000
3.893333,-1788.500000
3.900000,-2300.500000
3.906667,-3068.500000
3.913333,-3580.500000
3.920000,-3836.500000
3.926667,-4092.500000
3.933333,-3836.500000
3.940000,6915.500000
3.946667,16900.500000
3.953333,19716.500000
3.960000,19716.500000
3.966667,14084.500000
3.973333,5636.500000
3.980000,3844.500000
3.986667,3844.500000
3.993333,4100.500000
4.000000,3844.500000
4.006667,2820.500000
4.013333,2820.500000
4.020000,4612.500000
4.026667,9476.500000
4.033333,16132.500000
4.040000,19460.500000
4.046667,19460.500000
4.053333,15620.500000
4.060000,10756.500000
4.066667,9476.500000
4.073333,9476.500000
4.080000,10756.500000
4.086667,12804.500000
4.093333,14084.500000
4.100000,14852.500000
4.106667,15620.500000
4.113333,15876.500000
4.120000,16132.500000
4.126667,17156.500000
4.133333,17668.500000
4.140000,17668.500000
4.146667,17412.500000
4.153333,17156.500000
4.160000,16644.500000
4.166667,16132.500000
4.173333,15364.500000
4.180000,14084.500000
4.186667,12804.500000
4.193333,11012.500000
4.200000,8964.500000
4.206667,6916.500000
4.213333,4868.500000
4.220000,2820.500000
4.226667,1028.500000
4.233333,-507.500000
4.240000,-1532.500000
4.246667,-2044.500000
4.253333,-2556.500000
4.260000,-3324.500000
4.266667,-4092.500000
4.273333,-4604.500000
4.280000,-5116.500000
4.286667,-5372.500000
4.293333,-5116.500000
4.300000,-4604.500000
4.306667,-3580.500000
4.313333,-2044.500000
4.320000,-508.500000
4.326667,1283.500000
4.333333,2564.500000
4.340000,3844.500000
4.346667,4612.500000
4.353333,5124.500000
4.360000,5124.500000
4.366667,4868.500000
4.373333,3588.500000
4.380000,1796.500000
4.386667,4.500000
4.393333,-1787.500000
4.400000,-3068.500000
4.406667,-3836.500000
4.413333,-4604.500000
4.420000,-5372.500000
4.426667,-7932.500000
4.433333,-7932.500000
4.440000,-2300.500000
4.446667,12291.500000
4.453333,21764.500000
4.460000,22276.500000
4.466667,22276.500000
4.473333,15364.500000
4.480000,3588.500000
4.486667,-1531.500000
4.493333,-1532.500000
4.500000,-764.500000
4.506667,3.500000
4.513333,4.500000
4.520000,-507.500000
4.526667,-1788.500000
4.533333,-3068.500000
4.540000,-3068.500000
4.546667,-3068.500000
4.553333,-1532.500000
4.560000,3.500000
4.566667,4.500000
4.573333,-763.500000
4.580000,-1532.500000
4.586667,-2044.500000
4.593333,-2044.500000
4.600000,-1788.500000
4.606667,-1532.500000
4.613333,-1276.500000
4.620000,-1020.500000
4.626667,-764.500000
4.633333,3.500000
4.640000,772.500000
4.646667,1540.500000
4.653333,2308.500000
4.660000,2820.500000
4.666667,3588.500000
4.673333,4100.500000
4.680000,4612.500000
4.686667,4612.500000
4.693333,4356.500000
4.700000,3844.500000
4.706667,3332.500000
4.713333,2564.500000
4.720000,1796.500000
4.726667,1284.500000
4.733333,772.500000
4.740000,516.500000
4.746667,516.500000
4.753333,260.500000
4.760000,4.500000
4.766667,-251.500000
4.773333,-508.500000
4.780000,-764.500000
4.786667,-764.500000
4.793333,-764.500000
4.800000,-508.500000
4.806667,3.500000
4.813333,516.500000
4.820000,1028.500000
4.826667,1028.500000
4.833333,1028.500000
4.840000,772.500000
4.846667,772.500000
4.853333,516.500000
4.860000,4.500000
4.866667,-507.500000
4.873333,-1020.500000
4.880000,-1532.500000
4.886667,-2044.500000
4.893333,-2812.500000
4.900000,-3836.500000
4.906667,-4860.500000
4.913333,-5884.500000
4.920000,-6652.500000
4.926667,-7420.500000
4.933333,-8188.500000
4.940000,-8700.500000
4.946667,-8956.500000
4.953333,-7932.500000
4.960000,-6396.500000
4.966667,6915.500000
4.973333,6916.500000
4.980000,2308.500000
4.986667,-6651.500000
4.993333,-11516.500000
5.000000,-11516.500000
5.006667,-11260.500000
5.013333,-9468.500000
5.020000,-7932.500000
5.026667,-7420.500000
5.033333,-6908.500000
5.040000,-5884.500000
5.046667,-5116.500000
5.053333,-5116.500000
5.060000,-5372.500000
5.066667,-5372.500000
5.073333,-3836.500000
5.080000,-508.500000
5.086667,1795.500000
5.093333,2308.500000
5.100000,2564.500000
5.106667,2564.500000
5.113333,3076.500000
5.120000,4100.500000
5.126667,5124.500000
5.133333,6148.500000
5.140000,6916.500000
5.146667,7684.500000
5.153333,8708.500000
5.160000,9732.500000
5.166667,10244.500000
5.173333,10244.500000
5.180000,9732.500000
5.186667,8708.500000
5.193333,7172.500000
5.200000,5124.500000
5.206667,3332.500000
5.213333,1540.500000
5.220000,4.500000
5.226667,-1275.500000
5.233333,-2300.500000
5.240000,-3324.500000
5.246667,-3836.500000
5.253333,-4092.500000
5.260000,-4348.500000
5.266667,-4860.500000
5.273333,-5628.500000
5.280000,-5884.500000
5.286667,-5628.500000
5.293333,-5372.500000
5.300000,-5116.500000
5.306667,-4860.500000
5.313333,-4348.500000
5.320000,-3580.500000
5.326667,-2812.500000
5.333333,-2556.500000
5.340000,-2300.500000
5.346667,-2556.500000
5.353333,-2300.500000
5.360000,-1532.500000
5.366667,-1020.500000
5.373333,-252.500000
5.380000,3.500000
5.386667,516.500000
5.393333,772.500000
5.400000,1028.500000
5.406667,1284.500000
5.413333,1028.500000
5.420000,772.500000
5.426667,260.500000
5.433333,-251.500000
5.440000,-764.500000
5.446667,-1276.500000
5.453333,-1532.500000
5.460000,-508.500000
5.466667,14083.500000
5.473333,14084.500000
5.480000,12548.500000
5.486667,5636.500000
5.493333,-5627.500000
5.500000,-11772.500000
5.506667,-12284.500000
5.513333,-12284.500000
5.520000,-8956.500000
5.526667,-4860.500000
5.533333,-4092.500000
5.540000,-4092.500000
5.546667,-4348.500000
5.553333,-4604.500000
5.560000,-4604.500000
5.566667,-4604.500000
5.573333,-3836.500000
5.580000,-2556.500000
5.586667,-1532.500000
5.593333,-508.500000
5.600000,259.500000
5.606667,772.500000
5.613333,1540.500000
5.620000,2308.500000
5.626667,2820.500000
5.633333,3076.500000
5.640000,3588.500000
5.646667,4100.500000
5.653333,5380.500000
5.660000,6404.500000
5.666667,7172.500000
5.673333,7428.500000
5.680000,7428.500000
5.686667,6916.500000
5.693333,6148.500000
5.700000,4868.500000
5.706667,3332.500000
5.713333,1540.500000
5.720000,-251.500000
5.726667,-2044.500000
5.733333,-3324.500000
5.740000,-4604.500000
5.746667,-5372.500000
5.753333,-5884.500000
5.760000,-6140.500000
5.766667,-6140.500000
5.773333,-6140.500000
5.780000,-5884.500000
5.786667,-5372.500000
5.793333,-4604.500000
5.800000,-3836.500000
5.806667,-3068.500000
5.813333,-2556.500000
5.820000,-2044.500000
5.826667,-1276.500000
5.833333,-508.500000
5.840000,259.500000
5.846667,1028.500000
5.853333,1796.500000
5.860000,2820.500000
5.866667,3588.500000
5.873333,4356.500000
5.880000,5124.500000
5.886667,5380.500000
5.893333,5380.500000
5.900000,4356.500000
5.906667,2820.500000
5.913333,1284.500000
5.920000,-251.500000
5.926667,-1788.500000
5.933333,-3068.500000
5.940000,-4348.500000
5.946667,-5372.500000
5.953333,-5884.500000
5.960000,-5628.500000
5.966667,7171.500000
5.973333,14340.500000
5.980000,15364.500000
5.986667,15364.500000
5.993333,9476.500000
6.000000,-507.500000
6.006667,-5372.500000
6.013333,-6140.500000
6.020000,-6396.500000
6.026667,-6140.500000
6.033333,-6140.500000
6.040000,-4860.500000
6.046667,-3580.500000
6.053333,-3324.500000
6.060000,-3324.500000
6.066667,-3324.500000
6.073333,-3324.500000
6.080000,-1788.500000
6.086667,-508.500000
6.093333,-508.500000
6.100000,-508.500000
6.106667,-508.500000
6.113333,-508.500000
6.120000,3.500000
6.126667,772.500000
6.133333,1796.500000
6.140000,2564.500000
6.146667,3588.500000
6.153333,4868.500000
6.160000,6148.500000
6.166667,7684.500000
6.173333,8708.500000
6.180000,9732.500000
6.186667,10244.500000
6.193333,10756.500000
6.200000,10500.500000
6.206667,9732.500000
6.213333,8708.500000
6.220000,7428.500000
6.226667,6148.500000
6.233333,4612.500000
6.240000,2820.500000
6.246667,1284.500000
6.253333,4.500000
6.260000,-763.500000
6.266667,-1020.500000
6.273333,-1276.500000
6.280000,-1276.500000
6.286667,-1020.500000
6.293333,-508.500000
6.300000,-508.500000
6.306667,-508.500000
6.313333,-764.500000
6.320000,-764.500000
6.326667,-764.500000
6.333333,-508.500000
6.340000,-252.500000
6.346667,-252.500000
6.353333,3.500000
6.360000,4.500000
6.366667,4.500000
6.373333,260.500000
6.380000,260.500000
6.386667,516.500000
6.393333,1028.500000
6.400000,1284.500000
6.406667,1540.500000
6.413333,1796.500000
6.420000,1540.500000
6.426667,1284.500000
6.433333,516.500000
6.440000,-251.500000
6.446667,-1020.500000
6.453333,-1788.500000
6.460000,-2556.500000
6.466667,-5884.500000
6.473333,-5884.500000
6.480000,259.500000
6.486667,13316.500000
6.493333,20740.500000
6.500000,20740.500000
6.506667,17412.500000
6.513333,8708.500000
6.520000,-507.500000
6.526667,-5372.500000
6.533333,-6908.500000
6.540000,-7420.500000
6.546667,-7420.500000
6.553333,-7420.500000
6.560000,-6652.500000
6.566667,-5116.500000
6.573333,-3836.500000
6.580000,-2812.500000
6.586667,-1532.500000
6.593333,-764.500000
6.600000,-764.500000
6.606667,-764.500000
6.613333,-1020.500000
6.620000,-1020.500000
6.626667,-764.500000
6.633333,3.500000
6.640000,1028.500000
6.646667,1796.500000
6.653333,2820.500000
6.660000,4100.500000
6.666667,5636.500000
6.673333,7172.500000
6.680000,8708.500000
6.686667,9732.500000
6.693333,10500.500000
6.700000,11012.500000
6.706667,11012.500000
6.713333,10756.500000
6.720000,9732.500000
6.726667,8452.500000
6.733333,6916.500000
6.740000,5380.500000
6.746667,3844.500000
6.753333,2564.500000
6.760000,1540.500000
6.766667,260.500000
6.773333,-507.500000
6.780000,-1276.500000
6.786667,-1788.500000
6.793333,-2300.500000
6.800000,-2812.500000
6.806667,-3324.500000
6.813333,-3324.500000
6.820000,-3068.500000
6.826667,-2812.500000
6.833333,-2300.500000
6.840000,-1788.500000
6.846667,-1276.500000
6.853333,-1020.500000
6.860000,-764.500000
6.866667,-508.500000
6.873333,-252.500000
6.880000,3.500000
6.886667,260.500000
6.893333,516.500000
6.900000,772.500000
6.906667,1284.500000
6.913333,1796.500000
6.920000,2308.500000
6.926667,2308.500000
6.933333,2052.500000
6.940000,1796.500000
6.946667,1284.500000
6.953333,772.500000
6.960000,4.500000
6.966667,-1019.500000
6.973333,-2300.500000
6.980000,-3580.500000
6.986667,-10236.500000
6.993333,-10236.500000
7.000000,-7676.500000
7.006667,3331.500000
7.013333,14084.500000
7.020000,16132.500000
7.026667,16132.500000
7.033333,7940.500000
7.040000,-3835.500000
7.046667,-7932.500000
7.053333,-7932.500000
7.060000,-7676.500000
7.066667,-7420.500000
7.073333,-7676.500000
7.080000,-7932.500000
7.086667,-8188.500000
7.093333,-8188.500000
7.100000,-5372.500000
7.106667,-764.500000
7.113333,1027.500000
7.120000,1028.500000
7.126667,772.500000
7.133333,772.500000
7.140000,772.500000
7.146667,1284.500000
7.153333,1796.500000
7.160000,2308.500000
7.166667,3076.500000
7.173333,4100.500000
7.180000,5380.500000
7.186667,6916.500000
7.193333,8708.500000
7.200000,10244.500000
7.206667,11780.500000
7.213333,12804.500000
7.220000,13828.500000
7.226667,14340.500000
7.233333,14852.500000
7.240000,14852.500000
7.246667,13828.500000
7.253333,12292.500000
7.260000,9988.500000
7.266667,7428.500000
7.273333,4868.500000
7.280000,2820.500000
7.286667,772.500000
7.293333,-1275.500000
7.300000,-2556.500000
7.306667,-3068.500000
7.313333,-3068.500000
7.320000,-2556.500000
7.326667,-2300.500000
7.333333,-2556.500000
7.340000,-2812.500000
7.346667,-3068.500000
7.353333,-2812.500000
7.360000,-2556.500000
7.366667,-2044.500000
7.373333,-1788.500000
7.380000,-1020.500000
7.386667,-508.500000
7.393333,-252.500000
7.400000,3.500000
7.406667,4.500000
7.413333,4.500000
7.420000,260.500000
7.426667,516.500000
7.433333,772.500000
7.440000,1284.500000
7.446667,1796.500000
7.453333,2052.500000
7.460000,1796.500000
7.466667,1028.500000
7.473333,260.500000
7.480000,-763.500000
7.486667,-1788.500000
7.493333,-3068.500000
7.500000,-4348.500000
7.506667,-9468.500000
7.513333,-9468.500000
7.520000,-2812.500000
7.526667,9987.500000
7.533333,16388.500000
7.540000,16388.500000
7.546667,11268.500000
7.553333,516.500000
7.560000,-5371.500000
7.566667,-5372.500000
7.573333,-4604.500000
7.580000,-3068.500000
7.586667,-2300.500000
7.593333,-2044.500000
7.600000,-1788.500000
7.606667,-1276.500000
7.613333,-508.500000
7.620000,515.500000
7.626667,1796.500000
7.633333,2820.500000
7.640000,2820.500000
7.646667,2820.500000
7.653333,2820.500000
7.660000,3588.500000
7.666667,4612.500000
7.673333,5380.500000
7.680000,6148.500000
7.686667,6916.500000
7.693333,7940.500000
7.700000,9476.500000
7.706667,11012.500000
7.713333,12548.500000
7.720000,13572.500000
7.726667,14596.500000
